SITES,BLM,BLESS,RAD51,XRCC4,ratio.BLM.BLESS,ratio.RAD51.XRCC4,Top_ratio
SITE463,158.04631187021732,1024.271952426061,4082.5522735118866,1572.3160822987556,0.15430112236879412,2.5965213480123657,BLM-low
SITE976,99.88814704120159,671.735127216205,3047.233523964882,1139.8717834949493,0.1487016876058821,2.673312532240942,BLM-low
SITE1156,82.2608267813921,567.8871505074203,2133.0634756684303,593.5780103206635,0.14485417870062767,3.5935688967253085,BLM-low
SITE1093,117.51546666026115,826.972224727273,2334.0962381362915,776.7470980882645,0.14210328127890456,3.004962933084637,BLM-low
SITE970,199.17672516405582,1548.0504595190287,3373.118199825287,1619.6003303527832,0.12866294114594884,2.082685546927834,BLM-low
SITE516,153.00993451476097,1191.2865964621305,4041.816665351391,1430.9224075078964,0.12844090999526742,2.824623224952249,BLM-low
SITE380,223.2793872654438,1746.24337118119,5446.929887712002,1669.179933667183,0.12786269711902395,3.263237100954787,BLM-low
SITE709,312.6151226311922,2445.6048364937305,4994.6061435341835,2090.6065577864647,0.1278273243355984,2.389070351344576,BLM-low
SITE713,135.14278653264046,1057.7558969035745,3524.950859606266,1216.0774587988853,0.12776368056963916,2.8986236313333573,BLM-low
SITE566,68.95040161907673,587.9525844193995,2037.8374259471893,640.8622611165047,0.11727204445774303,3.1798368379453126,BLM-low
SITE204,217.40361368656158,1868.6300717294216,3610.654310166836,1239.490055322647,0.11634384834947777,2.913015957378504,BLM-low
SITE199,151.57096956670284,1330.841079276055,1218.893414914608,1245.4579745531082,0.11389111136331449,0.9786708502564834,BLM-low
SITE964,109.36133255064487,978.4911940023303,1066.5317392349243,495.7960195541382,0.11176527006167868,2.15115026577672,BLM-low
SITE1176,35.2546401321888,724.6094127185643,2361.605987071991,760.2205668091774,0.048653301369522194,3.106474739277577,BLM-low
